Ibrahim Lameed
Emmanuel Owen
Abubakar Apaa
Muhammad Tj
John Borisade
Samuel Abdullahi Sani
Abdullahi Alabi
Sunday Ajieh
Umar Ndianabasi
Prince Elabor
Yusuf Johnbull
David Atasie
Musa Oviawe
Usman Owoniyi
Joseph Ezebuiro
Victor Ayowale
Michael Etok
Peter Ovie
Aliyu Alimo
James Imanche
Aminu Charlse
Itz Nwokeke
Mustapha Chinex
Hassan Baldwin
Sani Tinubu
Taiwo Akata
Adamu Nnadozie
Paul Prince Yusuf
Kingsley Eghosa
Emeka Jones
Godwin Hayatuddeen
Ifeanyi Nasa
Adebayo Omoragbon
Uche Sulayman
Moses Orume
Bello Ochi
Henry Ozy
Anthony Aondoaseer
Lawal Jubreel
Charles Obidah
Abiodun Deedat
Solomon Ezurike
Muhammed Izevbigie
Francis Jayeoba
Stephen Ekpete
Idris Chinadu
Joshua Wadzani
Chinedu Uket
Kehinde Oluniyi
Isaac Alhaj
Bashir Sarauta
Abdul Chukudi
Auwal Ignatus
Haruna Enogieru
Gabriel Ukegbu
Kabiru Longlife
Yahaya Nwokoye
Ismail Ndueso
Samson Ezejiofor
Suleiman Yusuf Ahmad
Abba Waleola
Chris Onyibe
Felix Noah
Johnson Owhor
Salisu Osho
Babatunde Oluwaniyi
Frank Nyeche
Patrick Obalowu
Yakubu Osain
Adeyemi Profit
Nura Aro
Christian Ukadike
Eze Eweje
Isah Appah
Friday Afam
Ajayi Lebari
Femi Muhammad Abba
Idowu Terhile
Adekunle Olaiya
Tunde Babashehu
Kayode Obus
Sulaiman Dice
Benjamin Atolagbe
Ojo Dyke
Segun Ayilaran
Richard Nwakor
Adewale Edokpa
Christopher Alhaji Abubakar
Ikechukwu Ojiako
Micheal Ibrahim H
Stanley Ichie
Obinna Okunbor
Kenneth Godknows
George Revelation
Tony Chimaeze
Alhaji Awodire
Rabiu Garba
Monday Haykay
Innocent Obasuyi
Olayinka Ewaen
Afolabi Jimson
Azeez Abur
Kelvin Alleh
Uchenna Yussuf
